symbol,date,open,high,low,close,volume,change,changePercent,vwap
^IXIC,2017-10-19,6583.7,6605.29,6558.53,6605.07,1847020000,21.37,0.32459,6588.1475
^IXIC,2017-10-20,6633.37,6640.03,6622.92,6629.05,1812220000,-4.32,-0.06512527,6631.3425
^IXIC,2017-10-23,6641.57,6641.57,6581.15,6586.83,1813080000,-54.74,-0.8242,6612.78
^IXIC,2017-10-24,6598.6,6611.9,6582.06,6598.43,1852610000,-0.17,-0.0025763,6597.7475
^IXIC,2017-10-25,6587.22,6600.64,6517.93,6563.89,2205790000,-23.33,-0.35417,6567.42
^IXIC,2017-10-26,6567.59,6582.76,6550.03,6556.77,2125640000,-10.82,-0.16475,6564.2875
^IXIC,2017-10-27,6635.03,6708.13,6625.78,6701.26,2414520000,66.23,0.99819,6667.55
^IXIC,2017-10-30,6693.77,6727.39,6677.15,6698.96,2015920000,5.19,0.07753478,6699.3175
^IXIC,2017-10-31,6713.71,6737.75,6705.79,6727.67,2054220000,13.96,0.20793,6721.23
^IXIC,2017-11-01,6758.64,6759.66,6691.48,6716.53,2074230000,-42.11,-0.62305,6731.5775
^IXIC,2017-11-02,6709.39,6719.97,6677.55,6714.94,2282300000,5.55,0.08271989,6705.4625
^IXIC,2017-11-03,6737.09,6765.14,6712.93,6764.44,2203880000,27.35,0.40596,6744.9
^IXIC,2017-11-06,6763.3,6790.67,6763.17,6786.44,2173120000,23.14,0.34214,6775.895
^IXIC,2017-11-07,6785.44,6795.52,6750.35,6767.78,2209280000,-17.66,-0.26026,6774.7725
^IXIC,2017-11-08,6764.85,6791.65,6753.34,6789.12,2121340000,24.27,0.35877,6774.74
^IXIC,2017-11-09,6737.45,6758.93,6687.28,6750.05,2243500000,12.6,0.18701,6733.4275
^IXIC,2017-11-10,6736.39,6757.34,6727.35,6750.94,1979120000,14.55,0.21599,6743.005
^IXIC,2017-11-13,6727.39,6766.3,6723.43,6757.6,1976460000,30.21,0.44906,6743.68
^IXIC,2017-11-14,6733.87,6743.63,6709.27,6737.87,1988230000,4.0,0.05940121,6731.16
^IXIC,2017-11-15,6700.68,6725.32,6667.31,6706.21,1923730000,5.53,0.08252894,6699.88
^IXIC,2017-11-16,6742.33,6806.67,6742.33,6793.29,2020380000,50.96,0.75582,6771.155
^IXIC,2017-11-17,6794.45,6797.75,6777.43,6782.79,2009220000,-11.66,-0.17161,6788.105
^IXIC,2017-11-20,6789.28,6795.83,6779.49,6790.71,1974170000,1.43,0.02106262,6788.8275
^IXIC,2017-11-21,6820.55,6862.66,6820.02,6862.48,1891960000,41.93,0.61476,6841.4275
^IXIC,2017-11-22,6869.53,6874.52,6859.28,6867.36,1589150000,-2.17,-0.03158877,6867.6725
^IXIC,2017-11-24,6878.11,6890.02,6873.74,6889.16,872110000,11.05,0.16065,6882.7575
^IXIC,2017-11-27,6889.91,6897.43,6867.89,6878.52,1781550000,-11.39,-0.16531,6883.4375
^IXIC,2017-11-28,6893.72,6914.19,6866.21,6912.36,2003840000,18.64,0.27039,6896.62
^IXIC,2017-11-29,6907.28,6908.33,6793.95,6824.39,2456990000,-82.89,-1.20004,6858.4875
^IXIC,2017-11-30,6852.8,6888.65,6838.48,6873.97,2468530000,21.17,0.30892,6863.475
^IXIC,2017-12-01,6844.04,6872.17,6737.16,6847.59,2302140000,3.55,0.05186995,6825.24
^IXIC,2017-12-04,6897.13,6899.23,6770.69,6775.37,2427170000,-121.76,-1.76537,6835.605
^IXIC,2017-12-05,6759.14,6836.45,6752.32,6762.21,2085760000,3.07,0.04541998,6777.53
^IXIC,2017-12-06,6742.07,6787.42,6734.13,6776.38,1901770000,34.31,0.50889,6760.0
^IXIC,2017-12-07,6785.74,6829.29,6778.2,6812.84,1953740000,27.1,0.39937,6801.5175
^IXIC,2017-12-08,6859.95,6870.48,6831.61,6840.08,1825640000,-19.87,-0.28965,6850.53
^IXIC,2017-12-11,6847.64,6879.8,6844.88,6875.08,1836780000,27.44,0.40072,6861.85
