symbol,date,open,high,low,close,volume,change,changePercent,vwap
^RUT,2022-05-27,1845.23999,1887.900024,1845.23999,1887.900024,4375620000,42.66003,2.31,1873.68
^RUT,2022-05-31,1882.0,1883.189941,1856.560059,1864.040039,6822640000,-17.95996,-0.9543,1867.93
^RUT,2022-06-01,1871.459961,1877.48999,1830.199951,1854.819946,4531800000,-16.64001,-0.88915,1854.17
^RUT,2022-06-02,1855.349976,1897.670044,1854.51001,1897.670044,4405790000,42.32007,2.28,1883.28
^RUT,2022-06-03,1886.609985,1889.449951,1872.22998,1883.050049,3711110000,-3.55994,-0.18869,1881.58
^RUT,2022-06-06,1893.449951,1903.51001,1881.72998,1889.890015,4332700000,-3.55994,-0.18801,1891.71
^RUT,2022-06-07,1879.77002,1919.72998,1870.939941,1919.560059,4248210000,39.79004,2.12,1903.41
^RUT,2022-06-08,1913.969971,1916.079956,1883.26001,1891.01001,4159470000,-22.95996,-1.2,1896.78
^RUT,2022-06-09,1884.959961,1884.959961,1850.670044,1850.859985,4134170000,-34.09998,-1.81,1862.16
^RUT,2022-06-10,1833.150024,1833.150024,1792.599976,1800.280029,4889640000,-32.87,-1.79,1808.68
^RUT,2022-06-13,1770.5,1770.5,1708.26001,1714.589966,5636890000,-55.91003,-3.16,1731.12
^RUT,2022-06-14,1717.329956,1723.189941,1692.319946,1707.829956,5153890000,-9.5,-0.55318,1707.78
^RUT,2022-06-15,1718.150024,1751.5,1704.420044,1731.140015,5530480000,12.98999,0.75605,1729.02
^RUT,2022-06-16,1707.849976,1707.849976,1641.469971,1649.839966,5644930000,-58.01001,-3.4,1666.39
^RUT,2022-06-17,1657.01001,1684.550049,1652.02002,1665.689941,8520740000,8.67993,0.52383,1667.42
^RUT,2022-06-21,1681.099976,1711.73999,1681.099976,1694.030029,5292260000,12.93005,0.76914,1695.62
^RUT,2022-06-22,1678.51001,1703.380005,1665.540039,1690.280029,5058990000,11.77002,0.70122,1686.4
^RUT,2022-06-23,1693.27002,1714.040039,1680.550049,1711.670044,5098640000,18.40002,1.09,1702.09
^RUT,2022-06-24,1720.040039,1765.73999,1720.040039,1765.73999,8120260000,45.69995,2.66,1750.51
^RUT,2022-06-27,1772.890015,1781.459961,1758.310059,1771.73999,4325310000,-1.15002,-0.06486725,1770.5
^RUT,2022-06-28,1778.619995,1792.579956,1738.810059,1738.839966,4270120000,-39.78003,-2.24,1756.74
^RUT,2022-06-29,1737.829956,1737.829956,1703.800049,1719.369995,4211240000,-18.45996,-1.06,1720.33
^RUT,2022-06-30,1706.47998,1722.089966,1680.400024,1707.98999,4840070000,1.51001,0.08848683,1703.49
^RUT,2022-07-01,1705.069946,1728.910034,1690.910034,1727.76001,4046950000,22.69006,1.33,1715.86
^RUT,2022-07-05,1714.859985,1741.339966,1681.579956,1741.329956,5076590000,26.46997,1.54,1721.42
^RUT,2022-07-06,1738.689941,1747.930054,1712.160034,1727.550049,4417720000,-11.13989,-0.64071,1729.21
^RUT,2022-07-07,1736.01001,1772.300049,1736.01001,1769.599976,4057770000,33.58997,1.93,1759.3
^RUT,2022-07-08,1767.579956,1780.130005,1752.939941,1769.359985,3521620000,1.78003,0.1007,1767.48
^RUT,2022-07-11,1765.599976,1765.599976,1729.650024,1732.01001,3423480000,-33.58997,-1.9,1742.42
^RUT,2022-07-12,1728.52002,1743.170044,1719.23999,1728.180054,3817210000,-0.339966,-0.01966804,1730.2
^RUT,2022-07-13,1715.469971,1732.599976,1700.939941,1726.040039,4109390000,10.57007,0.61616,1719.86
^RUT,2022-07-14,1712.290039,1712.290039,1684.849976,1707.51001,4199690000,-4.78003,-0.27916,1701.55
^RUT,2022-07-15,1724.099976,1744.369995,1708.900024,1744.369995,4143800000,20.27002,1.18,1732.55
^RUT,2022-07-18,1758.900024,1772.800049,1734.219971,1738.420044,4046870000,-20.47998,-1.16,1748.48
^RUT,2022-07-19,1754.72998,1800.01001,1754.72998,1799.319946,4041070000,44.58997,2.54,1784.69
^RUT,2022-07-20,1797.949951,1829.910034,1797.949951,1827.949951,4185300000,30.0,1.67,1818.6
^RUT,2022-07-21,1819.77002,1836.689941,1804.97998,1836.689941,4132790000,16.91992,0.92978,1826.12
^RUT,2022-07-22,1839.359985,1842.199951,1795.290039,1806.880005,3979240000,-32.47998,-1.77,1814.79
^RUT,2022-07-25,1810.949951,1819.099976,1798.819946,1817.77002,3568340000,6.82007,0.3766,1811.9
^RUT,2022-07-26,1812.5,1812.5,1800.290039,1805.25,3778950000,-7.25,-0.4,1806.01
^RUT,2022-07-27,1814.280029,1852.859985,1814.140015,1848.339966,4112180000,34.05994,1.88,1838.45
^RUT,2022-07-28,1854.180054,1873.73999,1832.77002,1873.030029,4413000000,18.84998,1.02,1859.85
^RUT,2022-07-29,1874.170044,1888.219971,1865.76001,1885.22998,4616360000,11.05994,0.59012,1879.74
^RUT,2022-08-01,1870.48999,1892.969971,1859.880005,1883.310059,4202810000,12.82007,0.68539,1878.72
^RUT,2022-08-02,1875.5,1900.72998,1875.050049,1882.449951,4727710000,6.94995,0.37057,1886.08
^RUT,2022-08-03,1895.380005,1912.77002,1891.050049,1908.930054,4351760000,13.55005,0.7149,1904.25
^RUT,2022-08-04,1908.52002,1911.569946,1899.459961,1906.459961,4283320000,-2.06006,-0.10794,1905.83
^RUT,2022-08-05,1887.540039,1922.550049,1884.180054,1921.819946,4085940000,34.27991,1.82,1909.52
^RUT,2022-08-08,1928.410034,1959.130005,1928.410034,1941.209961,4221090000,12.79993,0.66376,1942.92
^RUT,2022-08-09,1937.25,1937.25,1904.969971,1912.890015,3913090000,-24.35999,-1.26,1918.37
^RUT,2022-08-10,1935.77002,1970.949951,1935.77002,1969.25,4546010000,33.47998,1.73,1958.66
^RUT,2022-08-11,1981.930054,2005.209961,1972.630005,1975.26001,4630200000,-6.67004,-0.33654,1984.37
^RUT,2022-08-12,1978.790039,2016.619995,1978.670044,2016.619995,3788010000,37.82996,1.91,2003.97
^RUT,2022-08-15,2007.410034,2022.030029,1994.680054,2021.349976,3696830000,13.93994,0.69442,2012.69
^RUT,2022-08-16,2018.73999,2030.050049,2003.780029,2020.530029,4329820000,1.79004,0.0886711,2018.12
^RUT,2022-08-17,2008.880005,2008.880005,1976.140015,1987.310059,3885030000,-21.56995,-1.07,1990.78
^RUT,2022-08-18,1987.819946,2003.01001,1982.589966,2000.72998,3340330000,12.91003,0.64946,1995.44
^RUT,2022-08-19,1992.300049,1992.300049,1952.5,1957.349976,3761340000,-34.95007,-1.75,1967.38
^RUT,2022-08-22,1931.709961,1933.689941,1911.689941,1915.73999,3907430000,-15.96997,-0.82673,1920.37
^RUT,2022-08-23,1920.130005,1937.969971,1917.319946,1919.140015,3823520000,-0.98999,-0.05155849,1924.81
^RUT,2022-08-24,1918.650024,1941.150024,1916.579956,1935.290039,3583630000,16.64001,0.86728,1931.01
